week_ending,rank,title,views,runtime,hours_viewed,territory,category,source_batch
2026-08-30,1,Grand Theft Auto VI: An Extended Look,31100000,0:27,14000000,Global,Movies | English,week_2026_08_30
2026-08-30,2,The Whisper Man,23200000,1:54,44100000,Global,Movies | English,week_2026_08_30
2026-08-30,3,The Last House,5800000,1:52,10900000,Global,Movies | English,week_2026_08_30
2026-08-30,4,Don't Say Good Luck,4400000,1:35,7000000,Global,Movies | English,week_2026_08_30
2026-08-30,5,The Heat,4100000,1:58,8000000,Global,Movies | English,week_2026_08_30
2026-08-30,6,72 HOURS,3700000,1:45,6500000,Global,Movies | English,week_2026_08_30
2026-08-30,7,13 Minutes,3400000,1:49,6100000,Global,Movies | English,week_2026_08_30
2026-08-30,8,KPop Demon Hunters,2900000,1:40,4800000,Global,Movies | English,week_2026_08_30
2026-08-30,9,Shrek,2700000,1:30,4100000,Global,Movies | English,week_2026_08_30
2026-08-30,10,2012,2700000,2:38,7000000,Global,Movies | English,week_2026_08_30
