week_ending,rank,title,views,runtime,hours_viewed,territory,category,source_batch
2026-09-06,1,The Whisper Man,33400000,1:54,63500000,Global,Movies | English,week_2026_09_06
2026-09-06,2,Turning Point: Generation 9/11,5200000,1:40,8600000,Global,Movies | English,week_2026_09_06
2026-09-06,3,The Hard Corps,5000000,1:50,9200000,Global,Movies | English,week_2026_09_06
2026-09-06,4,Grand Theft Auto VI: An Extended Look,4400000,0:27,2000000,Global,Movies | English,week_2026_09_06
2026-09-06,5,Shrek,4300000,1:30,6500000,Global,Movies | English,week_2026_09_06
2026-09-06,6,13 Minutes,4200000,1:49,7600000,Global,Movies | English,week_2026_09_06
2026-09-06,7,Anacondas: Trail of Blood,3600000,1:29,5300000,Global,Movies | English,week_2026_09_06
2026-09-06,8,The Angry Birds Movie 2,3500000,1:37,5600000,Global,Movies | English,week_2026_09_06
2026-09-06,9,Shrek 2,3400000,1:33,5200000,Global,Movies | English,week_2026_09_06
2026-09-06,10,The Last House,3300000,1:52,6100000,Global,Movies | English,week_2026_09_06
